batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
045_04,3,045_MP_F3.vsi - old_05 - 20x_BF_04.tif,045 M+ V6 HES.vsi - 20x_BF_04.tif,-0.12038111686706543,90,-0.07491035014390945,89,-0.05605990067124367,88,-0.11215945333242416,88,-0.2926662266254425,89,-0.4779764413833618,89,-0.5817116498947144,89,-0.6988009214401245,90,-0.7590931057929993,90,90.0,-0.7379151582717896
045_04,4,045 M+ V6 HES.vsi - 20x_BF_04.tif,045 M- V7 HES.vsi - 20x_BF_04.tif,-0.18482376635074615,259,-0.18256351351737976,259,-0.2260405570268631,259,-0.32652413845062256,259,-0.5017761588096619,259,-0.6353623270988464,259,-0.7014185786247253,259,-0.7788169384002686,259,-0.8264515995979309,259,259.0,-0.8051893711090088
045_04,5,045 M- V7 HES.vsi - 20x_BF_04.tif,045 MM V8_01.vsi - 20x_BF_04.tif,-0.12371523678302765,216,-0.07795420289039612,216,-0.055250443518161774,358,-0.08422248065471649,217,-0.2162751853466034,217,-0.3665686845779419,217,-0.4541730284690857,217,-0.584069550037384,217,-0.6551713943481445,217,217.0,-0.6342999935150146
045_04,6,045 MM V8_01.vsi - 20x_BF_04.tif,045_LPS_F9_094555_202205.vsi - 40x_BF_04.tif,-0.11095696687698364,77,-0.06994041800498962,77,-0.060670360922813416,22,-0.11017880588769913,77,-0.24774372577667236,77,-0.3888375461101532,77,-0.4836629331111908,81,-0.6013709306716919,80,-0.6751917600631714,80,80.0,-0.6724977493286133
045_04,7,045_LPS_F9_094555_202205.vsi - 40x_BF_04.tif,045_LTA_F10_100028_202205.vsi - 40x_BF_04.tif,-0.10602188110351562,230,-0.0808095782995224,230,-0.09210876375436783,230,-0.17877312004566193,230,-0.3409920334815979,230,-0.46444469690322876,230,-0.5652936100959778,230,-0.6609638929367065,230,-0.716206431388855,230,230.0,-0.7192418575286865
045_04,8,045_LTA_F10_100028_202205.vsi - 40x_BF_04.tif,045 HE R11_1.vsi - 20x_04.tif,-0.10913033783435822,172,-0.07084381580352783,149,-0.06027527153491974,313,-0.11261191219091415,312,-0.2573816776275635,312,-0.4062841236591339,311,-0.5177907347679138,312,-0.648998498916626,311,-0.7215258479118347,311,311.0,-0.7104306221008301
003_04,1,003 HE R1_4.vsi - 20x_04.tif,003_ST_V19S23_107_4_04.tif,-0.13016855716705322,17,-0.09765100479125977,18,-0.09631942957639694,17,-0.1384141743183136,17,-0.2546096444129944,14,-0.37435224652290344,17,-0.4536578953266144,17,-0.4503173828125,13,-0.5978781580924988,15,15.0,-0.6013876795768738
003_04,2,003_ST_V19S23_107_4_04.tif,003_MP_F3.vsi - 20x_BF_04.tif,-0.11567741632461548,84,-0.08520239591598511,86,-0.08162588626146317,86,-0.12231525033712387,85,-0.23833973705768585,86,-0.35993656516075134,80,-0.4188656508922577,88,-0.4922352433204651,81,-0.5698422193527222,85,85.0,-0.6027296781539917
003_04,3,003_MP_F3.vsi - 20x_BF_04.tif,003 M+ V6 HES.vsi - 20x_BF_04.tif,-0.105292409658432,127,-0.07230985909700394,148,-0.05513095110654831,235,-0.06727945804595947,235,-0.15024295449256897,236,-0.22357627749443054,236,-0.27893301844596863,237,-0.36286765336990356,236,-0.44499894976615906,235,235.0,-0.4471956491470337
003_04,4,003 M+ V6 HES.vsi - 20x_BF_04.tif,003 M- V7 HES.vsi - 20x_BF_04.tif,-0.1343303918838501,19,-0.09444888681173325,19,-0.08282885700464249,21,-0.1071566790342331,21,-0.1836715191602707,112,-0.2667764723300934,108,-0.34025198221206665,112,-0.41125306487083435,102,-0.48211151361465454,107,107.0,-0.45717304944992065
003_04,5,003 M- V7 HES.vsi - 20x_BF_04.tif,003 MM V8_01.vsi - 20x_BF_04.tif,-0.11850998550653458,15,-0.08678165078163147,14,-0.08079428970813751,14,-0.11106815189123154,14,-0.1956585794687271,188,-0.28086379170417786,188,-0.37884753942489624,187,-0.4400482773780823,187,-0.5034591555595398,12,12.0,-0.5364733338356018
003_04,6,003 MM V8_01.vsi - 20x_BF_04.tif,003_LPS_F9_094304_202205.vsi - 40x_BF_04.tif,-0.11201494932174683,19,-0.07774895429611206,13,-0.06418492645025253,13,-0.09207906574010849,14,-0.20596012473106384,14,-0.32865968346595764,12,-0.41349416971206665,13,-0.4701147675514221,20,-0.5578351616859436,13,13.0,-0.5975089073181152
003_04,7,003_LPS_F9_094304_202205.vsi - 40x_BF_04.tif,003_LTA_F10_095615_202205.vsi - 40x_BF_04.tif,-0.09962688386440277,312,-0.07121136039495468,312,-0.06906558573246002,312,-0.09881165623664856,312,-0.1999569684267044,311,-0.2586679756641388,313,-0.3250081539154053,312,-0.39468976855278015,138,-0.5030210614204407,311,310.0,-0.5258738994598389
